chroma_stft_mean,chroma_stft_var,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_var,rmse_mean,cent_mean,cent_std,cent_var,spec_bw_mean,contrast_mean,rolloff_mean,poly_mean,poly_std,tonnetz_std,zcr_std,harm_std,perc_std,frame_mean,Genre
0.285665564,0.088339141,2.382864082,12.10577611,-3.564321681,53.14104184,2823.970328,5.083503568,2.690405846,1554.623622,280.6880691,78785.79216,1775.434835,23.13728305,3216.774104,1.086128043,1.244356259,0.076742697,0.023763543,0.089540273,0.028912192,2.251174603,jazz
0.477006854,0.065365713,9.382872908,36.21767429,6.048325684,26.96324295,727.0164703,2.246817707,6.182538033,2889.194288,289.0984081,83577.88956,2337.593164,20.60085968,5484.996454,3.857814071,3.992690532,0.06037634,0.027865311,0.1561573,0.101064838,1.56154195,metal
0.476577187,0.07971065,1.408415046,21.86732308,-1.003069712,50.96863184,2597.801432,11.37266506,1.798201442,3185.477874,652.8242924,426179.5567,2603.788037,21.11804354,6278.377581,0.738429871,0.937934489,0.064188919,0.07452096,0.046410661,0.045047224,1.69970068,hiphop
0.425788407,0.091852194,5.189892002,38.67752954,0.86407428,49.52862898,2453.085089,15.65426532,3.800118208,1803.774404,811.936719,659241.2356,1973.418909,21.67803948,3777.969679,1.475096763,1.847483386,0.073865199,0.059574407,0.11346487,0.068022214,2.317351474,reggae
0.243095039,0.083562182,0.124757029,1.004427919,-10.28283692,95.48080352,9116.583842,2.096511847,0.593736887,950.2545327,283.4969851,80370.54057,1112.859721,23.25921814,1697.384297,0.210374949,0.237621669,0.094093208,0.019877785,0.02229579,0.002393712,4.878512472,classical
0.226928067,0.088712379,1.642847018,20.25982063,-7.337869883,56.21362166,3159.971261,5.07451995,2.234687567,1623.851958,218.2745227,47643.76728,1551.415882,23.79756074,2732.310341,0.7963444,0.917525848,0.07929058,0.029370616,0.083406001,0.019799644,2.431129252,classical
0.181137412,0.088509531,1.271214447,12.60649495,-6.809310028,75.33980413,5676.086086,2.272789527,2.298839808,1807.889912,471.1544348,221986.5015,1439.107317,25.33143534,3073.011245,0.541485121,0.660286457,0.085135891,0.058106746,0.090474993,0.008082169,3.212480726,classical
0.370741905,0.094917819,5.109352054,40.04933708,1.459199002,53.71465538,2885.264202,18.20709493,3.784648657,1637.740962,757.9578063,574500.0361,2046.423696,22.12857458,3594.929126,1.303817645,1.632776287,0.083477281,0.047888813,0.121386848,0.059434656,1.895909297,reggae
0.39027972,0.099811531,19.52455121,161.900721,3.786168537,26.88943268,723.0415897,13.07076577,7.432560444,3497.602297,1173.185017,1376363.085,3294.747548,18.4543729,7661.881718,2.659072829,3.533718577,0.083749427,0.091376696,0.229191557,0.143201157,2.659845805,pop
0.266826912,0.084226914,0.072722679,0.484291687,-12.79213147,91.35375195,8345.507995,1.818698312,0.455895603,1213.971696,288.1955505,83056.67532,1539.592676,20.73267757,2163.88707,0.17594519,0.205608251,0.083836819,0.020831219,0.016806755,0.002708016,2.4578322,classical
0.522805994,0.088222528,27.11833882,258.3146999,7.27101758,23.68738042,561.0919911,14.16245664,8.60238266,3663.415404,1023.227094,1046993.685,3276.452111,17.41914751,7777.583132,2.820098744,3.507008358,0.044631786,0.103655883,0.242160603,0.169083193,1.526712018,pop
0.366813994,0.084051699,10.33090612,46.85688883,3.440809631,44.11692764,1946.303304,7.448850767,5.696033001,1474.633901,585.7860833,343145.3353,1745.516497,23.5663175,3107.717506,2.440601587,2.830966434,0.096255213,0.03116269,0.172974348,0.080395311,2.439256236,country
0.484610034,0.072828025,3.31926963,16.49065515,2.895629181,33.13235977,1097.753264,2.379656763,3.806842566,2870.818548,250.293663,62646.91775,2126.733557,20.50738959,5186.229506,2.235619961,2.313706697,0.04478554,0.04321897,0.094274506,0.059634946,1.592888889,metal
