tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,genre
123.046875,38497,631.0983607,0.35008813,0.297920417,0.088756575,0.547826327,0.253497546,0.064261006,0.271763771,0.097353921,0.009477786,4.426115758,27.20194259,739.9456805,1.938016381,42.03602111,1767.02707,0.004243907,2.794523034,7.809358989,3.541300774,1.626255035,2.644705534,1784.165843,360.2417173,129774.0949,2002.44905,293.0575819,85882.7463,20.52669869,8.760241662,76.74183397,3805.839606,949.4763955,901505.4255,1.75242189,2.128227478,4.529352197,0.003348185,0.051009764,0.002601996,0.083044821,0.027693784,0.000766946,-4.53E-05,0.090400673,0.008172282,7.78E-06,0.075486302,0.005698182,2.57044898,1.575129522,2.48103301,blues
67.99958882,21316,626.9411765,0.340913562,0.308188665,0.094980253,0.509074277,0.276935375,0.076693202,0.263413706,0.118095523,0.013946553,2.654004866,17.32295105,300.0846331,-0.055610796,60.04909573,3605.893898,0.004720182,3.832619686,14.68897365,2.602688551,1.454477072,2.11550355,1530.176731,613.0661958,375850.1604,2039.036545,462.4324411,213843.7626,20.67612826,8.237203412,67.85152005,3550.522098,1725.657379,2977893.388,1.034874366,1.396669625,1.950686041,0.014672281,0.058759845,0.003452719,0.056039809,0.038046307,0.001447521,0.000139581,0.071409605,0.005099332,-0.000177608,0.055345926,0.003063172,3.551492063,2.184163222,4.770568979,blues
161.4990234,49182,638.7272727,0.363637185,0.29201918,0.085275201,0.494684888,0.26475227,0.070093765,0.263610291,0.117656058,0.013842948,7.257299865,29.52388896,871.6600191,1.034163749,43.07703437,1855.63089,0.000533737,3.273510686,10.71587221,4.798640728,1.652280688,2.73003149,1552.811879,395.5599535,156467.6768,1747.702317,276.1416278,76254.19862,22.19751653,8.725291823,76.1307174,3042.260232,885.4572043,784034.4607,2.454554404,2.859357227,8.175923752,0.015996609,0.064831798,0.004203162,0.076291207,0.03173057,0.001006829,2.11E-06,0.127835721,0.016341973,-1.95E-05,0.086357541,0.007457625,2.024780045,1.1843224,1.402619547,blues
63.02400915,16489,588.8928571,0.404784715,0.306592621,0.093999035,0.374478035,0.308992482,0.095476354,0.231076862,0.173022591,0.029936817,6.209628641,68.63687039,4711.019977,0.071343798,59.69620904,3563.637374,-0.010804912,3.557420051,12.65523742,3.84961462,2.307216167,5.323246479,1070.106593,429.3669258,184355.957,1596.412852,407.9724266,166441.5009,21.42626815,7.961446212,63.38462578,2184.745799,1221.963322,1493194.36,1.243830971,1.621236165,2.628406702,0.006636808,0.091140407,0.008306574,0.033308863,0.020561104,0.000422759,4.58E-07,0.138037995,0.019054487,-1.45E-05,0.052078769,0.002712198,4.293369615,2.47599092,6.130531036,blues
135.9991776,42249,640.1363636,0.308526016,0.296379794,0.087840983,0.535313917,0.249967666,0.062483834,0.268213822,0.106745862,0.011394679,2.106470418,12.86576755,165.5279747,-8.458840635,51.29874315,2631.561049,0.002660269,3.464439567,12.00234151,2.486711502,1.417789936,2.01012826,1835.004276,586.0033558,343399.9331,1748.172122,297.3973884,88445.2066,21.46633813,7.936383684,62.98618599,3579.757627,1254.18413,1572977.832,1.249273615,1.624174215,2.637941882,-0.035237494,0.064856658,0.004206386,0.101460539,0.044205483,0.001954125,-1.76E-05,0.069382995,0.004814,-1.01E-05,0.055622831,0.003093899,1.753106576,1.002217465,1.004439847,blues
69.83741554,21627,636.0882353,0.302456259,0.295858722,0.087532383,0.453538148,0.277330969,0.076912467,0.248700095,0.146566013,0.021481596,2.915831424,28.45203546,809.518322,-7.099053602,55.20284396,3047.353981,0.004398854,3.865633805,14.94312471,2.822775126,1.817939997,3.304905891,1831.993949,1015.126796,1030482.412,1729.653291,449.3445335,201910.5098,22.54583103,8.176805972,66.8601559,3481.517592,1809.541367,3274439.958,1.223298715,1.678435992,2.81714738,-0.001538102,0.081844943,0.006698595,0.094041534,0.07895059,0.006233196,1.96E-07,0.089903347,0.008082611,-2.65E-05,0.056938943,0.003242043,3.871927438,2.063728579,4.258975649,blues
75.99954044,23540,636.2162162,0.291327985,0.306563739,0.093981326,0.429960508,0.295358187,0.087236459,0.244403055,0.153624477,0.02360048,5.888593835,49.65887442,2466.003809,-7.85624819,59.76792249,3572.204558,-0.000340492,4.239667469,17.97478025,3.84823513,2.718048573,7.387788296,1459.366477,661.7095037,437859.4673,1389.009135,430.1433153,185023.2717,23.42954022,7.036666863,49.51468055,2795.610963,1273.358561,1621442.025,1.581232362,2.401082144,5.765195464,-0.015082485,0.090930706,0.008268393,0.073052237,0.043694058,0.001909171,-9.67E-06,0.130089685,0.016923327,-2.24E-05,0.077161789,0.005953942,2.957061224,1.382031629,1.910011423,blues
92.28515625,29548,656.6222222,0.307954803,0.304799734,0.092902878,0.424849148,0.280189703,0.07850627,0.245291149,0.152202449,0.023165585,4.829306821,37.61215066,1414.673878,-5.961264244,57.03641305,3253.152414,0.002759509,3.538521395,12.52113366,3.585722923,2.172581434,4.720110416,1451.667092,670.4984829,449568.2155,1577.270953,410.1365043,168211.9522,22.44250934,7.240403925,52.42344899,2954.83676,1276.373759,1629129.972,1.482510368,2.114534183,4.471254812,-0.026923247,0.077941499,0.006074877,0.061442246,0.042997864,0.001848816,1.94E-05,0.114991449,0.013223032,-4.81E-05,0.069560468,0.004838658,3.482993197,1.698647208,2.885402338,blues
83.35433468,25400,635,0.408879248,0.29413004,0.086512481,0.482093898,0.283716956,0.080495311,0.263566448,0.117754238,0.013866061,4.946775273,29.28792849,857.7827553,2.002169908,44.08992509,1943.921494,-0.005202684,3.14625931,9.898947648,3.899480581,1.227206945,1.506036997,1719.368978,404.0827013,163282.8295,2031.7404,324.8733771,105542.7111,22.38088605,9.445156965,89.21099009,3782.316288,1123.795795,1262916.989,1.712290896,1.990096551,3.960484282,0.015489463,0.067817855,0.004599261,0.064024888,0.027045919,0.000731482,2.26E-06,0.112703517,0.012702082,-1.97E-05,0.058867492,0.003465381,1.727564626,1.005437443,1.010904451,blues
80.74951172,24630,615.75,0.273950398,0.303835422,0.092315964,0.478819898,0.27006153,0.07293323,0.255412695,0.13452765,0.018097688,2.387452603,24.57244049,603.8048318,-5.115920559,59.55470202,3546.762533,-0.0041601,2.710694455,7.347864428,2.223184824,1.860939026,3.463094234,1817.150828,546.1099101,298236.0339,1973.773294,337.7426818,114070.1191,21.16195009,7.956337975,63.30331397,3943.490565,1169.46066,1367638.235,0.899283421,1.346205146,1.812268294,0.005284402,0.06404372,0.004101598,0.079174824,0.03711683,0.001377659,-1.66E-06,0.084978864,0.007221407,-2.33E-05,0.040950324,0.001676929,2.356825397,1.358069623,1.8443531,blues
