,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,blues.00080.au,117.453835227,32716,605.851851852,0.36824472896,0.296494033785,0.0879087120701,0.487239684523,0.278204172886,0.0773975618112,0.261557798648,0.12215093655,0.0149208512999,14.3847891764,87.2593609458,7614.19607267,2.61753615776,36.1837334667,1309.26256759,0.00089640846134,2.81555140545,7.92732971671,6.59482479095,2.71704411507,7.38232898712,1827.20846362,394.111252044,155323.678988,1898.67988481,235.03415763,55241.055253,22.6318473173,8.9949663065,80.9094188551,3743.56318427,877.136995815,769369.309427,3.12739779102,3.61292284783,13.0532115044,0.015238513605,0.0668821897433,0.00447322730485,0.0940392679331,0.0346977444163,0.00120393346758,2.53136822721e-05,0.186746954918,0.0348744243383,0.000360863283277,0.118480794132,0.0140376985073,2.44041723356,1.53462470331,2.35507298
2,blues.00081.au,103.359375,31619,632.38,0.380135476183,0.28412117288,0.0807248408787,0.53359370907,0.267721909504,0.0716750208286,0.268611010093,0.105742416231,0.0111814585904,13.4209191506,52.8346493251,2791.5001693,2.3921434006,35.525853921,1262.08629682,-0.00645049256583,2.06822696883,4.27756279459,6.8051867485,2.25893688202,5.10279560089,2116.9176953,308.221201124,95000.3088223,1956.41593011,212.1387906,45002.8664774,22.6645982795,9.73556305297,94.7811879583,4195.66052784,661.412844785,437466.951246,3.82482081389,4.39710849364,19.3345631049,0.00720774777353,0.0591912551437,0.00350360468549,0.127271093146,0.0269740884534,0.000727601447891,-3.31164324052e-06,0.181865170598,0.0330749414861,-4.72232932225e-05,0.11249448359,0.0126550085843,2.75040362812,1.56540170546,2.45048249945
3,blues.00082.au,123.046875,38866,647.766666667,0.339175181122,0.294373437892,0.0866557209361,0.532827848387,0.272496869983,0.0742545441508,0.26939402472,0.103731349064,0.0107601927786,14.4194818072,61.4827033248,3780.12280813,3.19503418831,32.4397257064,1052.33580391,0.00111265631904,2.39865528311,5.75354716719,6.88927602768,1.97180712223,3.88802337646,2141.51822592,356.710613596,127242.461852,2168.29710058,273.091353461,74578.8873352,22.5469931328,9.3969632161,88.3029176847,4628.62279764,985.107606181,970436.995755,3.53256773544,3.88703524817,15.1090430205,-0.00373809808044,0.0612762496624,0.00375477877268,0.105125102717,0.0253883138866,0.000644566482002,-8.57630766404e-06,0.183495342731,0.033670540899,-0.000273969810223,0.120426297188,0.0145024936646,2.20125170068,1.37756380539,1.89768203792
4,blues.00083.au,135.999177632,42305,640.984848485,0.427291195532,0.283057836989,0.0801217390811,0.444183379649,0.312958636092,0.0979431079045,0.253630407899,0.137858440156,0.0190049495222,14.1208517557,88.3913789716,7813.0358765,6.69213281975,29.7052655511,882.402801463,0.000155886609496,1.91695646994,3.67472210763,6.813975811,2.15881061554,4.66046333313,2314.92770692,379.354214011,143909.619688,2261.81184757,175.961830115,30962.5656573,21.1861515381,10.3407915144,106.931969143,5036.45467028,666.743306356,444546.636571,3.50593248698,3.78080020043,14.2944501555,-0.0137427268918,0.0821648289213,0.00675105911167,0.117950321442,0.036192883587,0.00130992482234,8.38239520817e-06,0.176923364401,0.0313018783927,-0.000771451334003,0.120079673827,0.0144191272557,1.21440362812,0.695711846729,0.484014973679
5,blues.00084.au,112.347146739,35255,641.0,0.39614404817,0.291897541352,0.0852041746472,0.53728380819,0.263556563785,0.0694620623144,0.273582723236,0.0921185479697,0.00848582688005,12.9885252669,54.9519416135,3019.7158871,4.79607696072,34.8045016031,1211.35333184,-0.00404008971198,3.26840728619,10.6824861884,6.39553499222,2.65012145042,7.02314376831,2060.75029919,479.058793914,229497.328026,2084.83844072,286.314031396,81975.7245744,21.7919041894,9.70582520865,94.2030429809,4220.07481692,1108.66698362,1229142.48057,3.40138248418,4.07747586328,16.6258094157,0.0137815287415,0.0523151712606,0.00273687714402,0.113367350638,0.0393777511067,0.00155060728222,-5.21405399923e-06,0.170457392931,0.0290557220578,0.000496383116115,0.127845793962,0.0163445454091,2.35102040816,1.34581372836,1.81121459145
6,blues.00085.au,143.5546875,45158,636.028169014,0.315308254034,0.303257855016,0.0919653266288,0.400521489652,0.292270122482,0.0854218244957,0.233894470723,0.169194296294,0.0286267098983,5.80410348012,40.0921042474,1607.37682298,0.691077303415,55.5966297425,3090.98523873,-0.00275133019588,2.90648399889,8.44764923579,4.1164150238,1.76187109947,3.10418963432,1311.84877282,638.456244519,407626.376165,1673.70530823,430.942680987,185711.594296,24.0395301301,7.44391174341,55.4118220436,2636.8514696,1439.66172967,2072625.89587,1.46819508504,1.72273313921,2.96780946894,0.014817969798,0.088942965423,0.00791085109823,0.0593916914395,0.040873225367,0.0016706205519,-5.86340593145e-06,0.133532047272,0.0178308077157,-0.000115370210551,0.0529654100537,0.0028053347487,1.98646712018,1.15406853763,1.33187418954
7,blues.00086.au,123.046875,38792,646.533333333,0.365860528287,0.310503734897,0.096412569385,0.444483864691,0.287919816922,0.0828978209763,0.254675465723,0.135918138937,0.0184737404922,4.45724896734,37.6927141055,1420.74069664,-0.668130210936,62.6427896211,3924.11909151,-5.88829953609e-05,4.40931847374,19.4420894029,3.38818049431,1.82295787334,3.3231754303,1245.73004769,844.537771232,713244.047038,1634.66871052,579.017539657,335261.31123,21.1704231747,7.40937971137,54.8989077072,2518.21068146,1879.23402849,3531520.53382,1.18568922882,1.53624123639,2.36003713639,0.00502171332575,0.0743379235686,0.0055261268805,0.0488186841406,0.0522218551471,0.002727122155,-1.14789836516e-05,0.107346385717,0.0115232458338,-5.7497247326e-05,0.0540224760771,0.00291842781007,3.10334693878,1.49969767132,2.24909310536
8,blues.00087.au,86.1328125,25915,632.073170732,0.33685882716,0.307763948478,0.0947186479825,0.412243543648,0.293839885125,0.0863418780901,0.24090690799,0.15905091957,0.0252971950161,6.38868166013,45.5456303245,2074.40444166,0.555078797581,50.0320741331,2503.20844206,-0.00424443044718,3.37645092972,11.4004208808,4.32581520081,1.59482944012,2.54348087311,1441.89930173,622.389577274,387368.785899,1870.40543185,383.480346133,147057.17587,22.670342932,7.85926154332,61.7679920064,3082.80360671,1481.81155176,2195765.47494,1.57661661424,1.79100059353,3.20768312602,-0.00934673472512,0.0872993626089,0.00762117871192,0.0508692388099,0.0339863882664,0.0011550745874,1.17780857067e-07,0.134686395526,0.0181404259056,-7.80160407885e-05,0.0596707575023,0.00356059940532,2.55883900227,1.26028108709,1.58830841849
9,blues.00088.au,172.265625,53583,645.578313253,0.378027149889,0.304611889621,0.0927884032982,0.467933721747,0.281071584035,0.0790012353517,0.260640268748,0.124096670546,0.0153999836405,5.58786487909,45.8301871223,2100.40605167,0.0782389621579,58.6767738794,3442.9637929,-0.000374086901472,2.61573516566,6.84207045685,3.8679766655,1.78408038616,3.18294262886,1006.64567728,369.131137617,136257.796758,1530.29083383,388.288716982,150768.127735,20.5842796993,7.03208799001,49.4502614993,2074.44017592,1007.2206603,1014493.45854,1.31654947435,1.52772753667,2.33395142631,-0.00476026993694,0.0669355598872,0.00448036917742,0.0320536059551,0.0132209041665,0.00017479230698,-1.06811949081e-05,0.127070188522,0.0161468312144,-0.000115409980936,0.0436208695173,0.00190278026275,1.60101587302,0.934829577794,0.873906339519
10,blues.00089.au,107.666015625,31333,614.37254902,0.348474689627,0.320337073537,0.102615840682,0.377465028999,0.302812732315,0.0916955508521,0.23046033861,0.173842933883,0.030221365661,1.08291807049,18.8978414716,357.128412286,-6.25204808804,86.5872829008,7497.35756015,-0.00547834085626,2.93184524991,8.59571656944,1.43089616299,1.21643435955,1.47971248627,798.45116591,445.463091268,198437.365682,1285.36252149,362.435678017,131359.6207,20.9157855902,5.51428974944,30.4073914408,1454.4238168,1034.80469525,1070820.75732,0.397697002075,0.620296860456,0.384768195092,0.0198378222052,0.0983034262987,0.00966356362206,0.0256481716454,0.0201138066336,0.000404565217292,-6.31963393971e-06,0.0603491999209,0.00364202610217,-0.000114303606097,0.0181915909052,0.00033093400998,4.7368707483,2.81977645434,7.95113925247
